category,name
Herramientas,Brocha Profesional 2 Mango Plástico
Herramientas,Brocha Profesional 3 Mango Plástico
Herramientas,Brocha Profesional 4 Mango Plástico
Herramientas,Brocha 1/2 mango plástico
Herramientas,Brocha 3 mango plástico
Herramientas,"Brocha 1/2"""" profesional"
Herramientas,"Brocha 1"""" profesional"
Herramientas,"Brocha 1 1/2"""" profesional"
Herramientas,"Brocha de 1/2"""""
Herramientas,"Brocha de 1"""""
Herramientas,"Brocha de 1 1/2"""""
Herramientas,"Brocha de 2"""""
Herramientas,"Brocha de 2 1/2"""""
Herramientas,"Brocha de 3"""""
Herramientas,"Brocha de 4"""""
Herramientas,"Brocha de 5"""""
Herramientas,"Brocha de 6"""""
Herramientas,Brochas chicas 3pack
Herramientas,Brochas mediana 2pack
Herramientas,"Brocha Mango Plastico 2"""""
Herramientas,"Brocha Mango Plastico 3"""""
Herramientas,"Brocha mango plástico 1-1/2"""""
Herramientas,"Brocha mango plástico 1/2"""""
Herramientas,"Brocha mango plástico 2-1/2"""""
Herramientas,"Repuesto para rodillo 9"""" x 1 1/4"""""
Herramientas,"Maneral de 9"""" con jaula"
Herramientas,"Mini rodillo de NYLON 4"""""
Herramientas,"Mini rodillo de poliester 4"""""
Herramientas,"Mini rodillo de esponja 4"""""
Herramientas,"Repuesto mini felpa de polister 4"""" (1 pza)"
Herramientas,"Repuesto mini felpa de esponja 4"""" (10 pzs)"
Herramientas,"Rodillo Profesional De 9 x 1"""""
Herramientas,"Rodillo Profesional De 9 x 3/4"""""
Herramientas,"Felpa De Repuesto 9 x 1""""  P/Rodillo"
Herramientas,"Felpa de repuesto 4"""" x 3/8""""p/mini rodillo"
Herramientas,Llana Canto Dentado Cuadrado
Herramientas,Llana Canto Dentado Cuadrado 6 Remaches
Herramientas,Llana Canto Recto 6 Remaches
Herramientas,Cuchara  Para Albañil 8 Filadelfia
Herramientas,Cuñas juego de 4 pzs (508010y 120 mm)
Herramientas,"Espátula de plástico paq 3 pzs(1 1/2""""- 3"""" y 6"""")"
Herramientas,Espátula flexible 2 mangomadera
Herramientas,Espátula flexible 4 mangoplástico
Herramientas,Espátula rígida 3 mango madera
Herramientas,"Espátula tapizadora 10"""""
Herramientas,"Espátula tapizadora 8"""""
Herramientas,"Espatula flexible con mango de madera de 6"""""
Herramientas,"Cuchara de albañil 6"""" tipo F"
Herramientas,"Cuña P/Raspar C/Mgo 4.5 x 2-3/4"""""
Herramientas,Cuña para raspar sin mango 4 x 2-5/8” Foy
Herramientas,"Cuña para raspar sin mango 4"""" x 5"""" Foy"
Herramientas,"Espatula doble cuchara 30"""""
Herramientas,Cepillo curvo de alambre ondulado con mango 10 acero latona
Herramientas,Cepillo de alambre con mango 4 x 16 pinceles acero al carbon
Herramientas,Cepillo de alambre sin mango 6 x 19 pinceles acero al carbon
Herramientas,Cepillo Alambre 4 x 16 C/Mgo
Herramientas,Pistola De Gravedad Pintar
Herramientas,Colador de Aluminio para Pintura
Herramientas,Repuesto para Colador de Aluminio
Herramientas,Pistola de Gravedad 3 Reguladores
Herramientas,Pistola de Gravedad Vaso de Aluminio Gir
Herramientas,Pistola de Gravedad Ecológica
Herramientas,Pistola Grav. Diy C/Vaso 600ml Boq 1.5mm
Herramientas,Pistola de Grav Hibrida P/Altos Solidos
Herramientas,Charola Clásica 9 x 14 Para Rodillo
Herramientas,"Charola económica para Rodillo de 9"""""
Herramientas,Extensión metálica 1.2 m pararodillo
Herramientas,Extensión metálica telescópicade 1.2-2.40 m para rodillo
Plomería,"Tubo PVC Hidráulicos C40 1/2""""x 6 m Espiga/Casquillo"
Plomería,"Tubo PVC Hidráulicos C40 1/2""""x 6 m Espiga/Casquillo"
Plomería,"Tubo PVC Hidráulicos C40 3/4"""" x 6 m Espiga/Casquillo"
Plomería,"Tubo PVC Hidráulicos C40 3/4"""" x 6 m Espiga/Casquillo"
Plomería,"Tubo PVC Hidráulicos C40 1"""" x 6 m Espiga/Casquillo"
Plomería,"Tubo PVC C40 1/2""""x 6 m Espiga/Casquillo"
Plomería,"Tubo PVC C40 1"""" x 6 m Espiga/Casquillo"
Plomería,"Tubo PVC C40 1/2"""" x 6 m Cementar"
Plomería,"Tubo PVC C40 1/2"""" x 6 m Cementar"
Plomería,"Tubo PVC C40  3/4"""" x 6 m  Cementar"
Plomería,"Tubo PVC C40  3/4"""" x 6 m  Cementar"
